"date","store_id","product_id","category","region","inventory_level","units_sold","units_ordered","demand_forecast","price","discount","holiday_promotion","competitor_pricing","seasonality","retail_rent_index","year","month","sales_gap","price_diff_vs_competitor","period","promo_flag"
2017-01-01,"W001","PHO928","Household Essentials","North",1232,858,521,770.78,19.11,10,0,18.52,"Summer",124.2627,2017,"Jan",-87.22,0.59,"Pre-2020","No Promotion"
2017-01-01,"W001","PHO202","Homeware","West",1104,735,552,571.02,38.08,0,0,36.27,"Autumn",122.0183,2017,"Jan",-163.98,1.81,"Pre-2020","No Promotion"
2017-01-01,"W001","PDI298","DIY & Decorating","East",828,562,359,666.63,43.45,0,0,44.2,"Summer",128.7101,2017,"Jan",104.63,-0.75,"Pre-2020","No Promotion"
2017-01-01,"W001","PGA837","Gardening","North",526,338,220,404.69,9.51,0,0,9.26,"Spring",124.6403,2017,"Jan",66.69,0.25,"Pre-2020","No Promotion"
2017-01-01,"W001","PPE604","Pet Supplies","West",808,596,466,588.92,46.74,10,0,41.62,"Autumn",124.9196,2017,"Jan",-7.08000000000004,5.12,"Pre-2020","No Promotion"
2017-01-01,"W001","PHE238","Health & Beauty","West",756,443,324,405.15,21.66,20,0,21.65,"Autumn",126.957,2017,"Jan",-37.85,0.0100000000000016,"Pre-2020","No Promotion"
2017-01-01,"W001","PST266","Stationery & Office Supplies","South",742,591,324,544.17,17.61,0,0,15.12,"Summer",125.6733,2017,"Jan",-46.83,2.49,"Pre-2020","No Promotion"
2017-01-01,"W001","PTO589","Toys & Games","South",716,389,375,400.14,24.21,10,0,24.72,"Winter",123.5031,2017,"Jan",11.14,-0.509999999999998,"Pre-2020","No Promotion"
2017-01-01,"W001","PSE706","Seasonal Products","North",641,390,291,331.17,13.94,10,0,12.21,"Winter",122.6609,2017,"Jan",-58.83,1.73,"Pre-2020","No Promotion"
2017-01-01,"W002","PHO239","Household Essentials","North",961,756,459,898.8,39.33,0,0,36.1,"Spring",124.2382,2017,"Jan",142.8,3.23,"Pre-2020","No Promotion"
2017-01-01,"W002","PHO739","Homeware","West",936,517,516,640.63,40.43,0,1,39.34,"Autumn",124.4091,2017,"Jan",123.63,1.09,"Pre-2020","Promotion"
2017-01-01,"W002","PDI855","DIY & Decorating","South",411,323,191,318.97,36.77,0,0,37.84,"Winter",125.6163,2017,"Jan",-4.02999999999997,-1.07,"Pre-2020","No Promotion"
2017-01-01,"W002","PGA838","Gardening","East",844,623,341,582.12,16.12,0,0,16.81,"Summer",127.8255,2017,"Jan",-40.88,-0.689999999999998,"Pre-2020","No Promotion"
2017-01-01,"W002","PPE488","Pet Supplies","North",475,375,271,381.46,40.49,0,0,42.06,"Winter",129.3757,2017,"Jan",6.45999999999998,-1.57,"Pre-2020","No Promotion"
2017-01-01,"W002","PHE267","Health & Beauty","South",422,272,208,245.08,16.87,20,1,17.56,"Summer",120.5295,2017,"Jan",-26.92,-0.689999999999998,"Pre-2020","Promotion"
2017-01-01,"W002","PST759","Stationery & Office Supplies","West",765,466,346,384.45,22.53,10,1,20.75,"Winter",120.9214,2017,"Jan",-81.55,1.78,"Pre-2020","Promotion"
2017-01-01,"W002","PTO475","Toys & Games","South",484,330,213,387.77,29.7,10,0,29.6,"Winter",128.0747,2017,"Jan",57.77,0.0999999999999979,"Pre-2020","No Promotion"
2017-01-01,"W002","PSE904","Seasonal Products","Central",842,511,495,491.73,45.37,0,0,46.35,"Winter",125.1226,2017,"Jan",-19.27,-0.980000000000004,"Pre-2020","No Promotion"
2017-01-01,"W003","PHO364","Household Essentials","North",1224,619,717,658.42,42.28,10,0,40.51,"Spring",126.1094,2017,"Jan",39.42,1.77,"Pre-2020","No Promotion"
2017-01-01,"W003","PHO292","Homeware","South",1038,730,475,574.73,27.01,10,0,23.81,"Autumn",123.422,2017,"Jan",-155.27,3.2,"Pre-2020","No Promotion"
2017-01-01,"W003","PDI599","DIY & Decorating","West",574,367,309,345.35,29.12,0,0,27.81,"Summer",128.102,2017,"Jan",-21.65,1.31,"Pre-2020","No Promotion"
2017-01-01,"W003","PGA335","Gardening","North",559,432,261,481.66,11.62,10,1,10.24,"Summer",125.6582,2017,"Jan",49.66,1.38,"Pre-2020","Promotion"
2017-01-01,"W003","PPE710","Pet Supplies","South",711,426,417,529.53,20.09,10,0,19.45,"Summer",129.2468,2017,"Jan",103.53,0.640000000000001,"Pre-2020","No Promotion"
2017-01-01,"W003","PHE897","Health & Beauty","West",478,369,234,374.25,34.54,10,1,29.83,"Autumn",124.8273,2017,"Jan",5.25,4.71,"Pre-2020","Promotion"
2017-01-01,"W003","PST793","Stationery & Office Supplies","South",473,351,213,379.14,9.62,0,1,8.22,"Spring",123.4898,2017,"Jan",28.14,1.4,"Pre-2020","Promotion"
2017-01-01,"W003","PTO183","Toys & Games","North",883,453,391,432.16,22.22,20,0,19.47,"Autumn",120.5942,2017,"Jan",-20.84,2.75,"Pre-2020","No Promotion"
2017-01-01,"W003","PSE450","Seasonal Products","West",639,396,283,349.34,8.71,0,0,8.43,"Autumn",125.4195,2017,"Jan",-46.66,0.280000000000001,"Pre-2020","No Promotion"
2017-01-01,"W004","PHO174","Household Essentials","East",1112,785,453,818.62,5.14,0,0,4.64,"Summer",126.3255,2017,"Jan",33.62,0.5,"Pre-2020","No Promotion"
2017-01-01,"W004","PHO951","Homeware","East",966,663,579,824.4,20.92,20,0,19.89,"Summer",126.77,2017,"Jan",161.4,1.03,"Pre-2020","No Promotion"
2017-01-01,"W004","PDI834","DIY & Decorating","South",578,416,276,484.44,27.03,0,0,27.69,"Spring",126.4697,2017,"Jan",68.44,-0.66,"Pre-2020","No Promotion"
2017-01-01,"W004","PGA668","Gardening","West",589,427,285,320.87,32.54,0,0,33.86,"Summer",124.596,2017,"Jan",-106.13,-1.32,"Pre-2020","No Promotion"
2017-01-01,"W004","PPE111","Pet Supplies","East",892,544,436,662.42,34.66,10,0,35.53,"Autumn",121.936,2017,"Jan",118.42,-0.870000000000005,"Pre-2020","No Promotion"
2017-01-01,"W004","PHE105","Health & Beauty","East",697,479,391,409.96,11.14,0,0,11.38,"Winter",122.262,2017,"Jan",-69.04,-0.24,"Pre-2020","No Promotion"
2017-01-01,"W004","PST564","Stationery & Office Supplies","North",808,639,355,729.05,6.99,10,0,6.11,"Summer",124.7669,2017,"Jan",90.05,0.88,"Pre-2020","No Promotion"
2017-01-01,"W004","PTO646","Toys & Games","South",671,365,368,273.95,33.43,0,1,31.72,"Winter",122.9241,2017,"Jan",-91.05,1.71,"Pre-2020","Promotion"
2017-01-01,"W004","PSE591","Seasonal Products","South",591,344,262,408.33,49.39,10,1,50.05,"Summer",128.2858,2017,"Jan",64.33,-0.659999999999997,"Pre-2020","Promotion"
2017-01-01,"W005","PHO658","Household Essentials","North",1007,520,583,590.04,33.05,10,0,30.71,"Winter",127.0659,2017,"Jan",70.04,2.34,"Pre-2020","No Promotion"
2017-01-01,"W005","PHO994","Homeware","South",966,483,449,444.35,36.79,0,0,36.43,"Spring",123.7819,2017,"Jan",-38.65,0.359999999999999,"Pre-2020","No Promotion"
2017-01-01,"W005","PDI627","DIY & Decorating","West",532,374,278,335.48,42.66,0,0,40.97,"Summer",121.9088,2017,"Jan",-38.52,1.69,"Pre-2020","No Promotion"
2017-01-01,"W005","PGA284","Gardening","North",549,308,323,234.76,20,0,1,17.09,"Summer",123.8062,2017,"Jan",-73.24,2.91,"Pre-2020","Promotion"
2017-01-01,"W005","PPE941","Pet Supplies","Central",446,319,225,306.65,36.15,0,0,37.76,"Autumn",121.073,2017,"Jan",-12.35,-1.61,"Pre-2020","No Promotion"
2017-01-01,"W005","PHE942","Health & Beauty","South",852,482,410,466.08,38.01,0,0,37.01,"Summer",126.7865,2017,"Jan",-15.92,1,"Pre-2020","No Promotion"
2017-01-01,"W005","PST897","Stationery & Office Supplies","West",633,338,290,296.54,40.15,0,1,35.57,"Summer",127.1509,2017,"Jan",-41.46,4.58,"Pre-2020","Promotion"
