month,pollutant,normalized_concentration,year
January,CO,0.4287820658422204,2019
February,CO,0.3683648011985339,2019
March,CO,0.4851457173163013,2019
April,CO,0.4855214041131154,2019
May,CO,0.3792011931835706,2019
June,CO,0.2974241641324143,2019
July,CO,0.4393631627943482,2019
August,CO,0.5057779434819448,2019
September,CO,0.5746761005953086,2019
October,CO,0.4566347394019313,2019
November,CO,0.4571221798305788,2019
December,CO,0.4147775537149993,2019
January,CO,0.4287820658422204,2020
February,CO,0.3683648011985339,2020
March,CO,0.4851457173163013,2020
April,CO,0.4855214041131154,2020
May,CO,0.3792011931835706,2020
June,CO,0.2974241641324143,2020
July,CO,0.4393631627943482,2020
August,CO,0.5057779434819448,2020
September,CO,0.5746761005953086,2020
October,CO,0.4566347394019313,2020
November,CO,0.4571221798305788,2020
December,CO,0.4147775537149993,2020
January,CO,0.4287820658422204,2021
February,CO,0.3683648011985339,2021
March,CO,0.4851457173163013,2021
April,CO,0.4855214041131154,2021
May,CO,0.3792011931835706,2021
June,CO,0.2974241641324143,2021
July,CO,0.4393631627943482,2021
August,CO,0.5057779434819448,2021
September,CO,0.5746761005953086,2021
October,CO,0.4566347394019313,2021
November,CO,0.4571221798305788,2021
December,CO,0.4147775537149993,2021
January,CO,0.4287820658422204,2022
February,CO,0.3683648011985339,2022
March,CO,0.4851457173163013,2022
April,CO,0.4855214041131154,2022
May,CO,0.3792011931835706,2022
June,CO,0.2974241641324143,2022
July,CO,0.4393631627943482,2022
August,CO,0.5057779434819448,2022
September,CO,0.5746761005953086,2022
October,CO,0.4566347394019313,2022
November,CO,0.4571221798305788,2022
December,CO,0.4147775537149993,2022
January,NO2,0.4705882352941176,2019
February,NO2,0.3676470588235294,2019
March,NO2,0.5514705882352942,2019
April,NO2,0.6764705882352942,2019
May,NO2,0.6323529411764706,2019
June,NO2,0.5441176470588235,2019
July,NO2,0.7058823529411764,2019
August,NO2,0.6985294117647058,2019
September,NO2,0.7205882352941176,2019
October,NO2,0.6397058823529411,2019
November,NO2,0.6176470588235294,2019
December,NO2,0.4632352941176471,2019
January,NO2,0.4705882352941176,2020
February,NO2,0.3676470588235294,2020
March,NO2,0.5514705882352942,2020
April,NO2,0.6764705882352942,2020
May,NO2,0.6323529411764706,2020
June,NO2,0.5441176470588235,2020
July,NO2,0.7058823529411764,2020
August,NO2,0.6985294117647058,2020
September,NO2,0.7205882352941176,2020
October,NO2,0.6397058823529411,2020
November,NO2,0.6176470588235294,2020
December,NO2,0.4632352941176471,2020
January,NO2,0.4705882352941176,2021
February,NO2,0.3676470588235294,2021
March,NO2,0.5514705882352942,2021
April,NO2,0.6764705882352942,2021
May,NO2,0.6323529411764706,2021
June,NO2,0.5441176470588235,2021
July,NO2,0.7058823529411764,2021
August,NO2,0.6985294117647058,2021
September,NO2,0.7205882352941176,2021
October,NO2,0.6397058823529411,2021
November,NO2,0.6176470588235294,2021
December,NO2,0.4632352941176471,2021
January,NO2,0.4705882352941176,2022
February,NO2,0.3676470588235294,2022
March,NO2,0.5514705882352942,2022
April,NO2,0.6764705882352942,2022
May,NO2,0.6323529411764706,2022
June,NO2,0.5441176470588235,2022
July,NO2,0.7058823529411764,2022
August,NO2,0.6985294117647058,2022
September,NO2,0.7205882352941176,2022
October,NO2,0.6397058823529411,2022
November,NO2,0.6176470588235294,2022
December,NO2,0.4632352941176471,2022
January,O3,0.5833333333333333,2019
February,O3,0.7083333333333334,2019
March,O3,0.625,2019
April,O3,0.5,2019
May,O3,0.375,2019
June,O3,0.3083333333333333,2019
July,O3,0.4333333333333333,2019
August,O3,0.4583333333333333,2019
September,O3,0.3583333333333333,2019
October,O3,0.25,2019
November,O3,0.2083333333333333,2019
December,O3,0.5,2019
January,O3,0.5833333333333333,2020
February,O3,0.7083333333333334,2020
March,O3,0.625,2020
April,O3,0.5,2020
May,O3,0.375,2020
June,O3,0.3083333333333333,2020
July,O3,0.4333333333333333,2020
August,O3,0.4583333333333333,2020
September,O3,0.3583333333333333,2020
October,O3,0.25,2020
November,O3,0.2083333333333333,2020
December,O3,0.5,2020
January,O3,0.5833333333333333,2021
February,O3,0.7083333333333334,2021
March,O3,0.625,2021
April,O3,0.5,2021
May,O3,0.375,2021
June,O3,0.3083333333333333,2021
July,O3,0.4333333333333333,2021
August,O3,0.4583333333333333,2021
September,O3,0.3583333333333333,2021
October,O3,0.25,2021
November,O3,0.2083333333333333,2021
December,O3,0.5,2021
January,O3,0.5833333333333333,2022
February,O3,0.7083333333333334,2022
March,O3,0.625,2022
April,O3,0.5,2022
May,O3,0.375,2022
June,O3,0.3083333333333333,2022
July,O3,0.4333333333333333,2022
August,O3,0.4583333333333333,2022
September,O3,0.3583333333333333,2022
October,O3,0.25,2022
November,O3,0.2083333333333333,2022
December,O3,0.5,2022
January,PM 10,0.3060443494791696,2019
February,PM 10,0.4137976856557672,2019
March,PM 10,0.4735391307613768,2019
April,PM 10,0.3697960305888806,2019
May,PM 10,0.3204918451121115,2019
June,PM 10,0.3015486829768565,2019
July,PM 10,0.4503794154425339,2019
August,PM 10,0.5050520833333333,2019
September,PM 10,0.4907955148002517,2019
October,PM 10,0.2976856557672018,2019
November,PM 10,0.1982881944444444,2019
December,PM 10,0.2314344232798154,2019
January,PM 10,0.3060443494791696,2020
February,PM 10,0.4137976856557672,2020
March,PM 10,0.4735391307613768,2020
April,PM 10,0.3697960305888806,2020
May,PM 10,0.3204918451121115,2020
June,PM 10,0.3015486829768565,2020
July,PM 10,0.4503794154425339,2020
August,PM 10,0.5050520833333333,2020
September,PM 10,0.4907955148002517,2020
October,PM 10,0.2976856557672018,2020
November,PM 10,0.1982881944444444,2020
December,PM 10,0.2314344232798154,2020
January,PM 10,0.3060443494791696,2021
February,PM 10,0.4137976856557672,2021
March,PM 10,0.4735391307613768,2021
April,PM 10,0.3697960305888806,2021
May,PM 10,0.3204918451121115,2021
June,PM 10,0.3015486829768565,2021
July,PM 10,0.4503794154425339,2021
