date,pollutant,concentration
1/1/2017,CO,0.561
1/2/2017,CO,0.53
1/3/2017,CO,0.589
1/4/2017,CO,0.662
1/7/2017,CO,0.716
1/8/2017,CO,0.661
1/9/2017,CO,0.682
1/10/2017,CO,0.68
1/11/2017,CO,0.699
1/12/2017,CO,0.679
1/1/2018,CO,0.671
1/2/2018,CO,0.677
1/3/2018,CO,0.654
1/4/2018,CO,0.682
1/5/2018,CO,0.671
1/6/2018,CO,0.648
1/7/2018,CO,0.653
1/8/2018,CO,0.655
1/9/2018,CO,0.615
1/10/2018,CO,0.632
1/11/2018,CO,0.636
1/12/2018,CO,0.626
1/1/2019,CO,0.636
1/2/2019,CO,0.588
1/3/2019,CO,0.669
1/4/2019,CO,0.644
1/5/2019,CO,0.627
1/6/2019,CO,0.585
1/7/2019,CO,0.629
1/8/2019,CO,0.708
1/9/2019,CO,0.888
1/10/2019,CO,0.629
1/11/2019,CO,0.633
1/12/2019,CO,0.565
1/1/2020,CO,0.553
1/2/2020,CO,0.544
1/3/2020,CO,0.542
1/4/2020,CO,0.473
1/5/2020,CO,0.496
1/6/2020,CO,0.529
1/7/2020,CO,0.545
1/8/2020,CO,0.585
1/9/2020,CO,0.555
1/10/2020,CO,0.548
1/11/2020,CO,0.549
1/12/2020,CO,0.62
1/1/2021,CO,0.549
1/2/2021,CO,0.533
1/3/2021,CO,0.538
1/4/2021,CO,0.563
1/5/2021,CO,0.526
1/6/2021,CO,0.488
1/7/2021,CO,0.518
1/8/2021,CO,0.494
1/9/2021,CO,0.531
1/10/2021,CO,0.564
1/11/2021,CO,0.539
1/12/2021,CO,0.562
1/1/2022,CO,0.572
1/2/2022,CO,0.515
1/3/2022,CO,0.535
1/4/2022,CO,0.575
1/5/2022,CO,0.537
1/6/2022,CO,0.513
1/7/2022,CO,0.534
1/8/2022,CO,0.508
1/9/2022,CO,0.523
1/10/2022,CO,0.501
1/11/2022,CO,0.515
1/12/2022,CO,0.503
1/1/2017,NO2,0.0076
1/2/2017,NO2,0.0071
1/3/2017,NO2,0.0082
1/4/2017,NO2,0.0087
1/7/2017,NO2,0.0082
1/8/2017,NO2,0.0078
1/9/2017,NO2,0.0076
1/10/2017,NO2,0.0082
1/11/2017,NO2,0.008
1/12/2017,NO2,0.0074
1/1/2018,NO2,0.0078
1/2/2018,NO2,0.0069
1/3/2018,NO2,0.0074
1/4/2018,NO2,0.0075
1/5/2018,NO2,0.0076
1/6/2018,NO2,0.0074
1/7/2018,NO2,0.0096
1/8/2018,NO2,0.0077
1/9/2018,NO2,0.0079
1/10/2018,NO2,0.0076
1/11/2018,NO2,0.0074
1/12/2018,NO2,0.007
1/1/2019,NO2,0.0066
1/2/2019,NO2,0.0063
1/3/2019,NO2,0.0074
1/4/2019,NO2,0.0077
1/5/2019,NO2,0.0074
1/6/2019,NO2,0.0069
1/7/2019,NO2,0.0075
1/8/2019,NO2,0.0076
1/9/2019,NO2,0.0081
1/10/2019,NO2,0.0074
1/11/2019,NO2,0.0073
1/12/2019,NO2,0.0061
1/1/2020,NO2,0.0059
1/2/2020,NO2,0.0057
1/3/2020,NO2,0.0051
1/4/2020,NO2,0.0032
1/5/2020,NO2,0.0047
1/6/2020,NO2,0.0061
1/7/2020,NO2,0.0065
1/8/2020,NO2,0.0064
