restaurant_name,category,location,dietary_preference,price_range,avg_star,review_count,avg_sentiment,review_count_norm,score
A'Decade,Malaysian Restaurant,Sunway Pyramid,Muslim-friendly,RM20-40,4.089887640449438,267,0.5805243445692884,0.3463035019455253,2.6275871114414375
Aftermeal Desserts,Dessert,Sunway Mentari,Muslim-friendly,RM20-40,4.838461538461538,130,0.9384615384615385,0.16861219195849547,3.0859992018357776
Bamboo House Korean BBQ Restaurant,Seafood/BBQ,Sunway Mentari,None,RM20-40,4.123255813953488,430,0.6697674418604651,0.5577172503242542,2.713847917232226
Bar.B.Q Plaza,Seafood/BBQ,Sunway Pyramid,None,RM20-100,4.798561151079137,278,0.89568345323741,0.36057068741893644,3.103631880487828
Beyond Coffee,Cafe,Sunway College,Muslim-friendly,RM20-40,4.342261904761905,336,0.6875,0.4357976653696498,2.8174315591995556
Black Tap,Western/European,Sunway Pyramid,None,RM40-60,4.564144736842105,608,0.8240131578947368,0.788586251621271,3.0592353786947917
Boards & Brews • by TD,Cafe,Nadayu 28 Dagang Hostel,Muslim-friendly,RM1-20,4.633333333333334,90,0.8555555555555555,0.11673151750972763,2.9375162127107655
Bungkus Kaw Kaw,Malaysian Restaurant,Sunway Pyramid,Muslim-friendly,RM1-20,3.9587628865979383,194,0.5103092783505154,0.251621271076524,2.5147094414804716
Burger Baek Sunway,Hawker/Food Court,Sunway Mentari,Muslim-friendly,RM1-20,4.3763676148796495,457,0.7396061269146609,0.5927367055771725,2.884945664359282
Burger King,Fast Food,Sunway Geo Avenue,Muslim-friendly,RM20-40,2.993377483443709,151,0.0,0.19584954604409857,1.84498887657725
Cafe Roffle,Cafe,Sunway Geo Avenue,None,RM1-20,4.809523809523809,147,0.9251700680272109,0.19066147859922178,3.0721551655681725
Caffeinees,Western/European,The Pinnacle Sunway,Muslim-friendly,RM20-40,4.178010471204188,382,0.643979057591623,0.49546044098573283,2.7272682516076894
Châteraisé,Dessert,Sunway Mentari,None,RM1+,3.74,50,0.38,0.0648508430609598,2.31721271076524
Chicken Soup Master,Asian,Sunway Geo Avenue,None,RM20-40,4.607843137254902,102,0.8725490196078431,0.13229571984435798,2.9286621652552065
Chilis,Western/European,Sunway Pyramid,Muslim-friendly,RM40-60,4.013840830449827,578,0.5432525951557093,0.7496757457846952,2.677211323989426
Cili Kampung,Malaysian Restaurant,Sunway Pyramid,Muslim-friendly,RM20-40,4.556962025316456,79,0.7848101265822784,0.10246433203631647,2.8775148171862943
Classic Food Street,Hawker/Food Court,Sunway College,None,RM1-20,3.3777777777777778,45,0.15555555555555556,0.058365758754863814,2.0645914396887157
DC Coffee,Cafe,Sunway Pyramid,None,RM1-20,4.891304347826087,46,1.0,0.05966277561608301,3.0996983025996725
